Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Type","Material - Core","Inductance","Tolerance","Current Rating (Amps)","Current - Saturation (Isat)","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Ratings","Operating Temperature","Inductance Frequency - Test","Mounting Type","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Features"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_standard_mlf2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2355/MFG_MLF2012.jpg","445-181338-2-ND,445-181338-1-ND","MLF2012C330MT000","TDK Corporation","TDK Corporation","FIXED IND 33UH 5MA 1.1 OHM SMD","1,756","0.15","0","1","Tape & Reel (TR),Cut Tape (CT)","MLF","Active","Multilayer","Ferrite","33 µH","±20%","5 mA","-","Shielded","1.1Ohm Max","-","15MHz","-","-40°C ~ 85°C","400 kHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_standard_mlf2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2355/MFG_MLF2012.jpg","445-8966-2-ND,445-8966-1-ND,445-8966-6-ND","MLF2012A1R0M","TDK Corporation","TDK Corporation","FIXED IND 1UH 80MA 300 MOHM SMD","1,691","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLF","Active","Multilayer","Ferrite","1 µH","±20%","80 mA","-","Shielded","300mOhm Max","45 @ 10MHz","120MHz","-","-55°C ~ 125°C","10 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","-"
"-","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2355/MFG_MLF2012.jpg","445-8991-2-ND,445-8991-1-ND,445-8991-6-ND","MLF2012DR47M","TDK Corporation","TDK Corporation","FIXED IND 470NH 200MA 500MOHM SM","1,375","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLF","Active","Multilayer","Ferrite","470 nH","±20%","200 mA","-","Shielded","500mOhm Max","25 @ 25MHz","160MHz","-","-55°C ~ 125°C","25 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_standard_mlf2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2355/MFG_MLF2012.jpg","445-MLF2012E8R2MT000TR-ND,445-MLF2012E8R2MT000CT-ND,445-MLF2012E8R2MT000DKR-ND","MLF2012E8R2MT000","TDK Corporation","TDK Corporation","FIXED IND 8.2UH 15MA 700MOHM SMD","1,178","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLF","Active","Multilayer","Ferrite","8.2 µH","±20%","15 mA","-","Shielded","700mOhm Max","50 @ 4MHz","-","-","-55°C ~ 125°C","4 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_standard_mlf2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2355/MFG_MLF2012.jpg","445-8971-2-ND,445-8971-1-ND,445-8971-6-ND","MLF2012A2R7M","TDK Corporation","TDK Corporation","FIXED IND 2.7UH 50MA 550MOHM SMD","1,101","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLF","Active","Multilayer","Ferrite","2.7 µH","±20%","50 mA","-","Shielded","550mOhm Max","45 @ 10MHz","70MHz","-","-55°C ~ 125°C","10 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_standard_mlf2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2355/MFG_MLF2012.jpg","445-1040-2-ND,445-1040-1-ND,445-1040-6-ND","MLF2012DR27KT000","TDK Corporation","TDK Corporation","FIXED IND 270NH 250MA 350MOHM SM","3,917","0.17","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLF","Active","Multilayer","Ferrite","270 nH","±10%","250 mA","-","Shielded","350mOhm Max","20 @ 25MHz","220MHz","-","-55°C ~ 125°C","25 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_standard_mlf2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2355/MFG_MLF2012.jpg","445-1062-2-ND,445-1062-1-ND,445-1062-6-ND","MLF2012C180KT000","TDK Corporation","TDK Corporation","FIXED IND 18UH 5MA 800 MOHM SMD","3,487","0.17","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLF","Active","Multilayer","Ferrite","18 µH","±10%","5 mA","-","Shielded","800mOhm Max","30 @ 1MHz","20MHz","-","-40°C ~ 85°C","1 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_standard_mlf2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2597/MLF2012 SERIES.jpg","445-1054-2-ND,445-1054-1-ND","MLF2012A3R9KT000","TDK Corporation","TDK Corporation","FIXED IND 3.9UH 30MA 650MOHM SMD","1,949","0.17","0","1","Tape & Reel (TR),Cut Tape (CT)","MLF","Active","Multilayer","Ferrite","3.9 µH","±10%","30 mA","-","Shielded","650mOhm Max","45 @ 10MHz","55MHz","-","-55°C ~ 125°C","10 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)","-"
"https://product.tdk.com/info/en/catalog/datasheets/inductor_automotive_standard_mlf2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2597/MLF2012 SERIES.jpg","445-1068-2-ND,445-1068-1-ND","MLF2012K560KT000","TDK Corporation","TDK Corporation","FIXED IND 56UH 4MA 2.8 OHM SMD","1,900","0.17","0","1","Tape & Reel (TR),Cut Tape (CT)","MLF","Active","Multilayer","Ferrite","56 µH","±10%","4 mA","-","Shielded","2.8Ohm Max","35 @ 2MHz","10MHz","-","-40°C ~ 85°C","2 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_automotive_decoupling_mlz2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2549/MFG_MLZ2012.jpg","445-181776-2-ND,445-181776-1-ND,445-181776-6-ND","MLZ2012M1R5HTD25","TDK Corporation","TDK Corporation","FIXED IND 1.5UH 700MA 140MOHM SM","1,710","0.17","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLZ","Active","Multilayer","Ferrite","1.5 µH","±20%","700 mA","550mA","Shielded","140mOhm","-","-","AEC-Q200","-55°C ~ 125°C","2 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)","-"
